"competencia","cnes","nome_estabelecimento","cod_municipio","municipio","uf","tipo_estabelecimento","subtipo_estabelecimento","natureza_juridica","gestao","atende_sus","codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","nivel_complexidade","usar_observatorio","prioridade","criterio_classificacao","status_validacao","competencia_inicio","competencia_fim","numero_leitos","portaria","data_atualizacao","fonte","arquivo_origem","data_processamento"
"202601","3204207152809","UNIDADE SANITARIA DE UNIAO","320420","PIUMA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3204207152809","UNIDADE SANITARIA DE UNIAO","320420","PIUMA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","07/11/2024","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602770148","UNIDADE BASICA DE SAUDE DE COQUEIRAL","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","06/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602770148","UNIDADE BASICA DE SAUDE DE COQUEIRAL","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602769956","UNIDADE BASICA DE SAUDE DE VILA RICA","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","13/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200602769956","UNIDADE BASICA DE SAUDE DE VILA RICA","320060","ARACRUZ","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300012173","UNIDADE BASICA DE SAUDE DE FONTE GRANDE DR AFFONSO SCHWAB","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","112014","999999","","PORTARIA 2450","28/01/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300012173","UNIDADE BASICA DE SAUDE DE FONTE GRANDE DR AFFONSO SCHWAB","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205307468466","UNIDADE BASICA DE SAUDE ITARARE","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","112014","999999","","PORTARIA 2450","29/11/2024","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205307468466","UNIDADE BASICA DE SAUDE ITARARE","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052014","999999","","PT SGTES 18","28/05/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205202485869","UNIDADE DE SAUDE DA FAMILIA BARRA DO JUCU","320520","VILA VELHA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","06/02/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205202485869","UNIDADE DE SAUDE DA FAMILIA BARRA DO JUCU","320520","VILA VELHA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205200469963","CENTRO DE REFERENCIA EM ATENDIMENTO AO IDOSO CRAI","320520","VILA VELHA","ES",NA,"OUTROS","MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","10/10/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205206689477","SECRETARIA MUNICIPAL DE SAUDE DE VILA VELHA","320520","VILA VELHA","ES",NA,"SECRETARIA MUNICIPAL DE SAUDE (SMS)","MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635 2023","06/11/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200106718264","UNIDADE DE SAUDE DA FAMILIA FRANCISCO XAVIER DE AZEREDO FILH","320010","AFONSO CLAUDIO","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3200106718264","UNIDADE DE SAUDE DA FAMILIA FRANCISCO XAVIER DE AZEREDO FILH","320010","AFONSO CLAUDIO","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","062023","999999","","PORTARIA 635 2023","12/02/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201002485362","CENTRO DE ESPECIALIDADES","320100","BOA ESPERANCA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052014","999999","","256","05/02/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205159889566","UBS LUIZA MARIA PIONTE KOSKI","320515","VILA PAVAO","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","PORTARIA 635.2023","27/11/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300011908","UNIDADE BASICA DE SAUDE MARIA ORTIZ","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300011908","UNIDADE BASICA DE SAUDE MARIA ORTIZ","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","112014","999999","","PORTARIA 2450","20/08/2024","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302445174","US CARIACICA SEDE","320130","CARIACICA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","052023","999999","","2450","14/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302445174","US CARIACICA SEDE","320130","CARIACICA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205102486210","UNIDADE DE SAUDE DA FAMILIA DE VIANA CENTRO","320510","VIANA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205102486210","UNIDADE DE SAUDE DA FAMILIA DE VIANA CENTRO","320510","VIANA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","102023","999999","","640","22/01/2026","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300011959","UNIDADE BASICA DE SAUDE DE MARUIPE MICHEL MINASSA","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","112014","999999","","PORTARIA 2450","29/11/2024","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300011959","UNIDADE BASICA DE SAUDE DE MARUIPE MICHEL MINASSA","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
"202601","3205300028177","UNIDADE BASICA DE SAUDE PRAIA DO SUA LUCILO BORGES SANT ANA","320530","VITORIA","ES",NA,NA,"MUNICIPIO",NA,"Sim","0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122013","999999","","PT SGTES 18","27/01/2014","CNES","rlEstabSipac202601","2026-05-21"
