"CO_CODIGO_GRUPO";"NO_DESCRICAO_GRUPO";"TP_ORIGEM";"TP_HABILITACAO"
"8277";"UTI ADULTO RUE TIPO III - NOVOS";"";"I"
"8278";"UTI ADULTO RUE TIPO III - QUALIFICADOS";"";"I"
"8279";"UTI PEDIATRICO RUE TIPO III - NOVOS";"";"I"
"8280";"UTI PEDIATRICO RUE TIPO III - QUALIFICADOS";"";"I"
"2609";"UNIDADE DE TERAPIA INTENSIVA CORONARIANA - UCO TIPO III";"";"H"
"1409";"SERVIÇO DIAGNÓSTICO DE FIBROSE CÍSTICA";"";"H"
"0203";"ASSISTÊNCIA DE ALTA COMPLEXIDADE AO INDIVÍDUO COM OBESIDADE";"";"H"
"0506";"TRATAMENTO DO GLAUCOMA COM MEDICAMENTOS NO AMBITO DA POLITICA NACIONAL DE ATENCAO OFTALMOLOGICA";"";"H"
"3401";"CENTRO DE TRAUMA TIPO I";"";"H"
"3402";"CENTRO DE TRAUMA TIPO II";"";"H"
"2518";"ADESÃO A ESTRATEGIA DE AUMENTO DO ACESSO AOS PROCEDIMENTOS-TOM";"";"H"
"3403";"CENTRO DE TRAUMA TIPO III";"";"H"
"1719";"SERVICO DE REFERENCIA PARA DIAGNOSTICO E TRATAMENTO DE LESOES PRECURSORAS DO CANCER DO COLO DE UTERO SRC";"";"H"
"1720";"SERVICO DE REFERENCIA PARA DIAGNOSTICO DE CANCER DE MAMA SDM";"";"H"
"0815";"IMPLANTE PERCUTÂNEO DE VÁLVULA AÓRTICA (TAVI)";"";"H"
"2425";"CADASTRAMENTO DE DOADORES VOLUNTARIOS DE MEDULA OSSEA E OUTROS PRECURSORES HEMATOPOETICOS";"";"H"
"2428";"ESTABELECIMENTO DE SAUDE DE NIVEL C";"";"H"
"2429";"ESTABELECIMENTO DE SAUDE DE NIVEL D";"";"H"
"2426";"ESTABELECIMENTO DE SAUDE DE NIVEL A";"";"H"
"2427";"ESTABELECIMENTO DE SAUDE DE NIVEL B";"";"H"
"0636";"SERVIÇOS HOSPITALARES DE REFERENCIA PARA ATENCAO A PESSOAS COM SOFRIMENTO OU TRANTORNO MENTAL INCLUINDO AQUELAS COM NECESSIDADES DECORRENTES DO USO DE ALCOOL E OUTRAS DROGAS";"";"H"
"2704";"SAMU 192 - SUPORTE BASICO DE VIDA";"";"H"
"2705";"SAMU 192 - SUPORTE AVANÇADO DE VIDA";"";"H"
"2706";"SAMU 192 - EQUIPE DE AEROMEDICO";"";"H"
"2707";"SAMU 192 - EQUIPE DE EMBARCAÇÃO";"";"H"
"2708";"SAMU 192 - VEÍCULOS DE INTERVENÇÃO RÁPIDA (VIR)";"";"H"
"2709";"SAMU 192 - MOTOLÂNCIA";"";"H"
"2710";"CENTRAL DE REGULAÇÃO DAS URGÊNCIAS";"";"H"
"8226";"Residência Terapêutica Tipo I";"";"I"
"8227";"Residência Terapêutica Tipo II";"";"I"
"8228";"UA adulto";"";"I"
"8229";"UA infantojuvenil";"";"I"
"8230";"SERVIÇO DE ATENÇÃO EM REGIME RESIDENCIAL";"";"I"
"1717";"ONCOLOGIA CIRÚRGICA HOSPITAL PORTE A";"";"H"
"1718";"ONCOLOGIA CIRÚRGICA HOSPITAL PORTE B";"";"H"
"8281";"MATERNIDADE E/OU HOSPITAL GERAL COM ATENCAO EM GESTACAO DE BAIXO RISCO (MAB I)";"";"I"
"8282";"MATERNIDADE E/OU HOSPITAL GERAL COM ATENCAO EM GESTACAO DE BAIXO RISCO (MAB II)";"";"I"
"8283";"MATERNIDADE E/OU HOSPITAL GERAL COM ATENCAO EM GESTACAO DE BAIXO RISCO (MAB III)";"";"I"
"8284";"ATENCAO ESPECIALIZADA A GESTACAO DE ALTO RISCO (AGAR)";"";"I"
"8285";"ATENCAO ESPECIALIZADA AO SEGUIMENTO DO RECEM-NASCIDO E CRIANÇAS EGRESSOS DE UNIDADES NEONATAIS (ANEO)";"";"I"
"0101";"CENTRO DE REFERENCIA EM ATENCAO A SAUDE DO IDOSO";"";"H"
"0201";"CENTRO DE REFERENCIA EM CIRURGIA BARIATRICA";"";"H"
"0301";"CENTROS/NUCLEOS PARA REALIZACAO DE IMPLANTE COCLEAR";"";"H"
"0302";"DIAGNOSTICO, TRATAMENTO E REABILITACAO AUDITIVA NA MEDIA COMPLEXIDADE.";"";"H"
"0303";"DIAGNOSTICO, TRATAMENTO E REABILITACAO AUDITIVA NA ALTA COMPLEXIDADE";"";"H"
"0401";"CENTRO DE TRATAMENTO DA MA FORMACAO LABIO PALATAL";"";"H"
"0402";"LABORATORIO REGIONAL DE PROTESE DENTARIA";"";"H"
"0403";"CENTRO DE ESPECIALIDADES ODONTOLOGICAS I";"";"H"
"0404";"CENTRO DE ESPECIALIDADES ODONTOLOGICAS II";"";"H"
"0501";"CENTRO DE REFERENCIA EM OFTALMOLOGIA - NIVEL I";"";"H"
"0502";"CENTRO DE REFERENCIA EM OFTALMOLOGIA - NIVEL II";"";"H"
"0601";"CLASSE I";"";"H"
"0602";"CLASSE II";"";"H"
"0603";"CLASSE III";"";"H"
"0604";"CLASSE IV";"";"H"
"0605";"CLASSE V";"";"H"
"0606";"CLASSE VI";"";"H"
"0607";"CLASSE VII";"";"H"
"0608";"CLASSE VIII";"";"H"
"0609";"CLASSE IX";"";"H"
"0610";"CLASSE X";"";"H"
"0611";"CLASSE XI";"";"H"
"0612";"CLASSE XII";"";"H"
"0613";"CLASSE XIII";"";"H"
"0616";"CAPS I";"";"H"
"0620";"CAPS INFANTIL";"";"H"
"0701";"SERVICO DE REFERENCIA DE SAUDE DO TRABALHADOR ESTADUAL A";"";"H"
"0702";"SERVICO DE REFERENCIA DE SAUDE DO TRABALHADOR ESTADUAL B";"";"H"
"0703";"SERVICO DE REFERENCIA DE SAUDE DO TRABALHADOR ESTADUAL C";"";"H"
"0705";"SERVICO DE REFERENCIA DE SAUDE DO TRABALHADOR REGIONAL B";"";"H"
"0706";"SERVICO DE REFERENCIA DE SAUDE DO TRABALHADOR REGIONAL C";"";"H"
"0802";"CENTRO DE REFERENCIA EM ALTA COMPLEXIDADE CARDIOVASCULAR**";"";"H"
"0803";"CIRURGIA CARDIOVASCULAR E PROCEDIMENTOS EM CARDIOLOGIA INTERVENCIONISTA";"";"H"
"0805";"CIRURGIA VASCULAR";"";"H"
"0806";"CIRURGIA VASCULAR E PROCEDIMENTOS ENDOVASCULARES EXTRACARDIACOS";"";"H"
"0808";"IMPLANTE DE MARCAPASSO DEFINITIVO";"";"H"
"0809";"CIRURGIA CARDIACA";"";"H"
"0810";"LAB. ELETROFISIOLOGICO E TERAPIA INTERVENCIONISTA";"";"H"
"0902";"CUIDADOS PROLONGADOS - ENFERMIDADES PNEUMOLOGICAS";"P";"H"
"0904";"CUIDADOS PROLONGADOS - ENFERMIDADES OSTEOMUSCULAR E DO TECIDO CONJUNTIVO";"P";"H"
"0906";"CUIDADOS PROLONGADOS - ENFERMIDADES DECORRENTES DA AIDS";"P";"H"
"0907";"CUIDADOS PROLONGADOS - ENFERMIDADES DEVIDO A CAUSAS EXTERNAS";"P";"H"
"1101";"SERVICO HOSPITALAR PARA TRATAMENTO AIDS";"";"H"
"1102";"LABORATÓRIO ESPECIALIZADO EM CONTAGEM DE LINFÓCITOS T CD4+/CD8+ e HIV-1 QUANTIFICAÇÃO do RNA";"";"H"
"1202";"PROCEDIMENTOS CIRURGICOS, DIAGNOSTICOS OU TERAPEUTICOS -HOSPITAL DIA";"";"H"
"1204";"HOSPITAL DIA EM INTERCORRENCIAS POS - TRANSPLANTE DE MEDULA OSSEA E DE OUTROS PRECURSORES HEMATOPOETICOS";"";"H"
"1206";" HOSPITAL DIA - SAUDE MENTAL";"";"H"
"1402";"REFERENCIA HOSPITALAR EM ATENDIMENTO TERCIARIO A GESTACAO DE ALTO RISCO";"";"H"
"1403";"UNIDADE QUE REALIZA ASSISTENCIA AO PARTO SEM DISTOCIA POR ENFERMEIRO(A) OBSTETRA";"";"H"
"1404";"HOSPITAL AMIGO DA CRIANCA";"";"H"
"1406";"CENTRO DE REFERENCIA EM TRIAGEM NEONATAL /ACOMPANHAMENTO E TRATAMENTO - DOENCAS FALCIFORMES E OUTRAS HEMOGLOBINOPATIAS";"";"H"
"1407";"CENTRO DE REFERENCIA EM TRIAGEM NEONATAL/ACOMPANHAMENTO E TRATAMENTO - FIBROSE CISTICA";"";"H"
"1501";"UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM NEFROLOGIA(SERVIÇO DE NEFROLOGIA) ";"";"H"
"1502";"CENTRO DE REFERENCIA DE ALTA COMPLEXIDADE EM NEFROLOGIA";"";"H"
"1601";"UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM NEUROLOGIA/NEUROCIRURGIA*. ";"";"H"
"1603";"TRAUMA E ANOMALIAS DO DESENVOLVIMENTO";"";"H"
"1605";"TUMORES DO SISTEMA NERVOSO";"";"H"
"1608";"INVESTIGACAO E CIRURGIA DE EPILEPSIA";"";"H"
"1611";"EPILEPSIA";"";"H"
"1612";"NEUROCIRURGIA I";"";"H"
"1614";"NEUROCIRURGIA III";"";"H"
"1702";"CENTRO DE ALTA COMPLEXIDADE EM ONCOLOGIA - CACON II";"";"H"
"1703";"CENTRO DE ALTA COMPLEXIDADE EM ONCOLOGIA - CACON III";"";"H"
"1705";"SERVICO ISOLADO DE QUIMIOTERAPIA";"";"H"
"1901";"LAQUEADURA";"P";"H"
"1902";"VASECTOMIA";"P";"H"
"2101";"CENTRO DE REFERENCIA EM ASSISTENCIA A QUEIMADOS - MEDIA COMPLEXIDADE";"";"H"
"2102";"CENTRO DE REFERENCIA EM ASSISTENCIA A QUEIMADOS - ALTA COMPLEXIDADE";"";"H"
"2201";"CENTRO DE REFERENCIA DE REABILITACAO EM MEDICINA FISICA";"";"H"
"2301";"UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM TERAPIA NUTRICIONAL*";"";"H"
"2302";"CENTRO DE REFERENCIA DE ALTA COMPLEXIDADE EM TERAPIA NUTRICIONAL";"";"H"
"2306";"NUTRICAO ENTERAL";"";"H"
"7002";"HOSPITAL DE PEQUENO PORTE COM CONTRATO DE GESTAO/METAS";"P";"G"
"2402";"TRANSPLANTE DE CELULAS PROGENITORAS HEMATOPOETICAS ALOGENICO APARENTADO COM HLA IDENTICO";"";"H"
"2404";"TRANSPLANTE DE PANCREAS";"";"H"
"2405";"CONJUGADO RIM E PANCREAS";"";"H"
"7100";"TABELA DE NAO GERACAO DE CREDITO POR PRODUCAO NA INTERNACAO E/OU AMBULATORIO";"P";"C"
"2407";"TRANSPLANTE DE CORNEA/ESCLERA";"";"H"
"2412";"BUSCA ATIVA DE ORGAOS";"";"H"
"2414";"BANCO DE TECIDOS CARDIOVASCULARES";"";"H"
"2416";"CENTRO DE PROCESSAMENTO CELULAR";"";"H"
"2418";"EXAMES DE HISTOCOMPATIBILIDADE ATRAVES DE SOROLOGIA E OU BIOLOGIA MOLECULAR - TIPO II";"";"H"
"7003";"HOSPITAL FILANTROPICO COM CONTRATO DE GESTAO/METAS";"P";"G"
"2502";"CENTRO DE REFERENCIA DE ALTA COMPLEXIDADE EM TRAUMATO-ORTOPEDIA**";"";"H"
"2504";"CINTURA ESCAPULAR, OMBRO, BRACO E COTOVELO";"";"H"
"8101";"INTEGRASUS NIVEL A";"";"I"
"9101";"IAE-PI";"";"A"
"0503";"UNIDADE DE ATENÇÃO ESPECIALIZADA EM OFTALMOLOGIA";"";"H"
"0504";"CENTRO DE REFERÊNCIA EM OFTALMOLOGIA";"";"H"
"2423";"TRANSPLANTE DA VÁLVULA CARDÍACA HUMANA";"";"H"
"2424";"TRANSPLANTE DE PELE";"";"H"
"7115";"ESTABELECIMENTO DE SAÚDE SEM GERAÇÃO DE CRÉDITO NA MÉDIA COMPLEXIDADE - HU/MEC";"";"C"
"7116";"ESTABELECIMENTO DE SAÚDE SEM GERAÇÃO DE CRÉDITO NA MÉDIA COMPLEXIDADE - LRPD";"";"C"
"7114";"ESTABELECIMENTO DE SAÚDE SEM GERAÇÃO DE CRÉDITO TOTAL, INCLUSIVE FAEC - PRONTO ATENDIMENTO";"";"C"
"8108";"UPA - PORTE I";"";"I"
"8109";"UPA - PORTE II";"";"I"
"8110";"UPA - PORTE III";"";"I"
"8111";"UOM-UNIDADE MÓVEL ODONTÓGICA";"";"I"
"0635";"CAPS AD III";"";"H"
"8105";"CEO";"";"I"
"8106";"SAUDE DO TRABALHADOR";"";"I"
"8107";"NASF";"";"I"
"8104";"IAE-PI";"";"I"
"0901";"ADESÃO DO MUNICIPIO AO PROGRAMA DE HOSPITAL DE PEQUENO PORTE";"";"S"
"0902";"ADESÃO DO MUNICIPIO AO PROGRAMA SAMU";"";"S"
"0903";"ADESÃO DO ESTABELECIMENTO HOSPITALAR AO PROGRAMA DE REESTRUTURAÇÃO DE HOSPITAL FILANTROPICO";"";"S"
"3101";"HPP- HOSPITAL DE PEQUENO PORTE";"";"H"
"0505";"PROJETO OLHAR BRASIL";"";"H"
"0909";"ADESÃO DO MUNICIPIO AO PROJETO OLHAR BRASIL";"";"S"
"0910";"ADESÃO DO ESTABELECIMENTO AO PROJETO OLHAR BRASIL";"";"S"
"2422";"TRANSPLANTE DE TECIDO MÚSCULO ESQUELÉTICO";"";"H"
"2420";"RETIRADA DE ORGAOS E TECIDOS";"";"H"
"2421";"BANCO DE MULTITECIDOS";"";"H"
"0631";"NIVEL I - ESTABELECMENTO DE SAUDE COM nº DE LEITOS DE PSIQUIATRIA ATE 160";"";"H"
"0632";"NIVEL II - ESTABELECIMENTO DE SAUDE COM nº DE LEITOS DE PSIQUIATRIA ENTRE 161 A 240";"";"H"
"0633";"NIVEL III - ESTABELECIMENTO DE SAUDE COM nº DE LEITOS DE PSIQUIATRIA ENTRE 241 a 400";"";"H"
"0634";"NIVEL IV - ESTABELECIMENTO DE SAUDE COM nº DE LEITOS DE PSIQUIATRIA ACIMA de 400";"";"H"
"0614";"CLASSE XIV";"";"H"
"0615";"PNASS MAIOR QUE 80%";"";"H"
"0617";"CAPS II";"";"H"
"0618";"CAPS III";"";"H"
"0619";"CAPS ALCOOL E DROGAS";"";"H"
"0621";"SERVICO HOSPITALAR DE REFERENCIA PARA A ATENCAO INTEGRAL AOS USUARIOS DE ALCOOL E OUTRAS DROGAS";"";"H"
"0704";"SERVICO DE REFERENCIA DE SAUDE DO TRABALHADOR REGIONAL A";"";"H"
"0801";"UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE CARDIOVASCULAR*";"";"H"
"0804";"CIRURGIA CARDIOVASCULAR PEDIATRICA";"";"H"
"0807";"LABORATÓRIO DE ELETROFISIOLOGIA, CIRURGIA CARDIOVASCULAR E PROCEDIMENTOS DE CARDIOLOGIA INTERVENCIONISTA. O";"";"H"
"0901";"CUIDADOS PROLONGADOS - ENFERMIDADES CARDIOVASCULARES";"P";"H"
"0905";"ENFERMIDADES ONCOLOGICAS";"P";"H"
"1001";"CENTRO DE REFERENCIA NO TRATAMENTO DA DOR CRONICA";"";"H"
"1201";"FIBROSE CISTICA - HOSPITAL DIA";"";"H"
"1203";"HOSPITAL DIA - AIDS";"";"H"
"1205";"HOSPITAL DIA - GERIATRIA";"";"H"
"1301";"INTERNACAO DOMICILIAR";"";"H"
"1401";"REFERENCIA HOSPITALAR EM ATENDIMENTO SECUNDARIO A GESTACAO DE ALTO RISCO";"";"H"
"1405";"CENTRO DE REFERENCIA EM TRIAGEM NEONATAL /ACOMPANHAMENTO E TRATAMENTO DE DOENCAS CONGENITAS - FENILCETONURIA/HIPOTIREOIDISMO CONGENITO";"";"H"
"1503";"HEMODIALISE II";"";"H"
"1602";"CENTRO DE REFERENCIA DE ALTA COMPLEXIDADE EM NEUROLOGIA/NEUROCIRURGIA**. ";"";"H"
"1604";"COLUNA E DOS NERVOS PERIFERICOS";"";"H"
"1606";"NEUROCIRURGIA VASCULAR";"";"H"
"1607";"TRATAMENTO NEUROCIRÚRGICO DA DOR E FUNCIONAL";"";"H"
"1609";"TRATAMENTO NEURO ENDOVASCULAR";"";"H"
"1610";"NEUROCIRURGIA FUNCIONAL ESTERIOTAXICA";"";"H"
"1613";"NEUROCIRURGIA II";"";"H"
"1701";"CENTRO DE ALTA COMPLEXIDADE EM ONCOLOGIA - CACON I ";"";"H"
"1704";"SERVICO ISOLADO DE RADIOTERAPIA";"";"H"
"1801";"CENTRO DE REFERENCIA DE TRATAMENTO DE OSTEOGENESIS IMPERFECTA";"";"H"
"2001";"PROGRAMA DE ASSISTENCIA VENTILADORA NAO INVASIVA AOS PORTADORES DE DOENCAS NEUROMUSCULARES";"";"H"
"2202";"SERVIÇO DE REABILITACAO FISICA - NIVEL INTERMEDIARIO";"";"H"
