codigo_habilitacao;tipo_habilitacao;descricao_habilitacao;origem_habilitacao;linha_cuidado;sublinha_cuidado;componente_rede;nivel_complexidade;usar_observatorio;prioridade;fonte_cnes;fonte_normativa;criterio_classificacao;status_validacao;observacao
0508;H;TRATAMENTO DO GLAUCOMA COM MEDICAMENTOS DO COMPONENTE ESPECIALIZADO DA ASSISTENCIA FARMACEUTICA (CEAF);;UTI / cuidado crítico;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos de UTI/cuidado crítico.;revisar;"Classificação preliminar; revisar com base normativa específica."
8257;I;QUALIFICACAO UPA 24H NOVA OPCAO II;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8258;I;QUALIFICACAO UPA 24H NOVA OPCAO IV;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8259;I;QUALIFICACAO UPA 24H NOVA OPCAO VI;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8260;I;QUALIFICACAO UPA 24H NOVA OPCAO VII;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8261;I;UPA 24H AMPLIADA OPCAO I;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8262;I;UPA 24H AMPLIADA OPCAO II;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8263;I;UPA 24H AMPLIADA OPCAO IV;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8264;I;UPA 24H AMPLIADA OPCAO VI;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8265;I;UPA 24H AMPLIADA OPCAO VII;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8266;I;UPA 24H NOVA OPCAO I;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8267;I;UPA 24H NOVA OPCAO II;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8268;I;UPA 24H NOVA OPCAO IV;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8269;I;UPA 24H NOVA OPCAO VI;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8270;I;UPA 24H NOVA OPCAO VII;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
0811;H;QUALISUS CARDIO NIVEL A;;Cardiovascular;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos cardiovasculares.;revisar;"Classificação preliminar; revisar com base normativa específica."
0812;H;QUALISUS CARDIO NIVEL B;;Cardiovascular;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos cardiovasculares.;revisar;"Classificação preliminar; revisar com base normativa específica."
0813;H;QUALISUS CARDIO NIVEL C;;Cardiovascular;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos cardiovasculares.;revisar;"Classificação preliminar; revisar com base normativa específica."
0814;H;QUALISUS CARDIO NIVEL D;;Cardiovascular;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos cardiovasculares.;revisar;"Classificação preliminar; revisar com base normativa específica."
1722;H;TRATAMENTOS INTEGRADOS SINCRONICOS EM ONCOLOGIA;;Oncologia;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos de oncologia.;revisar;"Classificação preliminar; revisar com base normativa específica."
2608;H;UNIDADE DE TERAPIA INTENSIVA CORONARIANA - UCO TIPO II;;UTI / cuidado crítico;UTI coronariana;UTI coronariana;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UTI coronariana.;revisar;"Classificação preliminar; revisar com base normativa específica."
0904;S;ADESÃO DO ESTADO AO PRO- GRAMA SAÚDENA ESCOLA;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
0905;S;ENFERMIDADES ONCOLOGICAS;;Oncologia;A definir;A definir;Alta complexidade;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém termos de oncologia.;revisar;"Classificação preliminar; revisar com base normativa específica."
0906;S;ADESÃO DO MUNICIPIO AO PROGRAMA SAÚ-DE NA ESCO- LA-PSE;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8241;I;UPA 24H NOVA OPCAO III;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8242;I;UPA 24H NOVA OPCAO V;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
8243;I;UPA 24H NOVA OPCAO VIII;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
3601;H;SITIO TESTADOR DE ACIDOS NUCLEICOS (SIT-NAT);;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
0637;H;'CAPS AD IV;;Saúde mental;CAPS AD;Atenção psicossocial especializada;Média;Sim;Média;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém CAPS AD.;validado;"Classificação preliminar; revisar com base normativa específica."
7118;R;'ESTABELECIMENTO SEM GERACAO DE CREDITO TOTAL;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
