"codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","usar_observatorio","prioridade","status_validacao","n_registros","n_estabelecimentos","n_municipios","exemplos_cnes","exemplos_municipios","categoria_auditoria_escopo","recomendacao_auditoria"
"1415","H","CASA DA GESTANTE, BEBE E PUERPERA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201502448521","COLATINA","Outro tema futuro","Considerar como futura linha temática"
"1416","H","HOSPITAL AMIGO DA CRIANCA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205202678179","VILA VELHA","Componente hospitalar genérico","Manter fora do escopo"
"1707","H","UNACON COM SERVICO DE RADIOTERAPIA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201202547821","CACHOEIRO DE ITAPEMIRIM","Outro tema futuro","Considerar como futura linha temática"
"1712","H","CACON","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011738","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"1801","H","CENTRO DE REFERENCIA DE TRATAMENTO DE OSTEOGENESIS IMPERFECTA","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011800","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2101","H","CENTRO DE REFERENCIA EM ASSISTENCIA A QUEIMADOS - MEDIA COMPLEXIDADE","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011800","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2418","H","EXAMES DE HISTOCOMPATIBILIDADE ATRAVES DE SOROLOGIA E OU BIOLOGIA MOLECULAR - TIPO II","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205302709244","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2425","H","CADASTRAMENTO DE DOADORES VOLUNTARIOS DE MEDULA OSSEA E OUTROS PRECURSORES HEMATOPOETICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205302709244","VITORIA","Outro tema futuro","Considerar como futura linha temática"
"2440","H","INCREMENTO FINANCEIRO SNT TMO NIVEL E","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205300011738","VITORIA","Transplantes","Revisar classificação no Ciclo 1"
"2451","H","INCREMENTO FINANCEIRO SNT FIGADO NIVEL A","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201302494450","CARIACICA","Transplantes","Revisar classificação no Ciclo 1"
"2453","H","INCREMENTO FINANCEIRO SNT FIGADO NIVEL C","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205202494442","VILA VELHA","Transplantes","Revisar classificação no Ciclo 1"
"2454","H","INCREMENTO FINANCEIRO SNT FIGADO NIVEL D","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205202494442","VILA VELHA","Transplantes","Revisar classificação no Ciclo 1"
"2461","H","INCREMENTO FINANCEIRO SNT CORACAO NIVEL A","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3201302494450","CARIACICA","Transplantes","Revisar classificação no Ciclo 1"
"3002","H","ATENÇÃO ESPECIALIZADA NO PROCESSO TRANSEXUALIZADOR - MODALIDADE AMBULATORIAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",1,1,1,"3205304044916","VITORIA","Outro tema futuro","Considerar como futura linha temática"
